destination country,destination city,description,time,year,year_aggregate
Spain,Madrid,Signed a Joint Declaration of Principles on security cooperation.,"July 9, 1974",1974,1975
Egypt,Cairo,Reviewed the Middle East peace process with President Sadat and Foreign Minister Fahmy.,"October 9–10, 1974",1974,1975
Syria,Damascus,Reviewed the Middle East peace process with President Assad.,"October 11, 1974",1974,1975
Jordan,"Amman, Aqaba",Reviewed the Middle East peace process with King Hussein and Prime Minister Rifai.,"October 11–12, 1974",1974,1975
Israel,Tel Aviv,Reviewed the Middle East peace process with Prime Minister Rabin and Foreign Minister Allon.,"October 12–13, 1974",1974,1975
Saudi Arabia,Riyadh,Reviewed the Middle East peace process with King Faisal and Foreign Minister Saqqaf.,"October 13, 1974",1974,1975
Egypt,Cairo,Reviewed the Middle East peace process with President Sadat.,"October 14, 1974",1974,1975
Syria,Damascus,Reviewed the Middle East peace process with President Assad.,"October 14, 1974",1974,1975
Algeria,Algiers,Reviewed the Middle East peace process with President Boumediene.,"October 14–15, 1974",1974,1975
Morocco,Rabat,Reviewed bilateral relations and the Middle East peace process with King Hassan II.,"October 15, 1974",1974,1975
Mexico,"Nogales, Magdalena de Kino",Accompanied President Ford to a meeting with President Echeverria.,"October 21, 1974",1974,1975
Denmark,Copenhagen,Stopped en route to Moscow.,"October 23, 1974",1974,1975
U.S.S.R.,Moscow,"Met with General Secretary Brezhnev, Foreign Minister Gromyko, and other Soviet officials.","October 23–27, 1974",1974,1975
India,New Delhi,Official visit. Signed an agreement establishing a U.S.-Indian Joint Commission.,"October 27–30, 1974",1974,1975
Bangladesh,Dhaka,Met with Prime Minister Rahman and Foreign Minister Hossain.,"October 30–31, 1974",1974,1975
Pakistan,Rawalpindi,Met with Prime Minister Bhutto.,"October 31–November 1, 1974",1974,1975
Afghanistan,Kabul,Official visit. Met with Prime Minister Daoud and senior Afghan officials.,"November 1, 1974",1974,1975
Iran,Tehran,Met with Shah Mohammed Reza Pahlavi and senior Iranian officials. Established U.S.-Iran Joint Commission.,"November 1–3, 1974",1974,1975
Romania,Bucharest,Official visit. Met with President Ceausescu and Foreign Minister Mancovescu.,"November 3–4, 1974",1974,1975
Yugoslavia,Belgrade,Official visit. Met with President Tito and senior Yugoslav officials.,"November 4, 1974",1974,1975
Italy,Rome,Met with President Leone and Foreign Minister Moro. Addressed the World Food Conference November 5.,"November 4–5, 1974",1974,1975
Egypt,Cairo,Discussed the Middle East peace process with President Sadat and Foreign Minister Fahmy.,"November 5–6, 1974",1974,1975
Saudi Arabia,Riyadh,Discussed the Middle East peace process with King Faisal and Foreign Minister Saqqaf.,"November 6, 1974",1974,1975
Jordan,Amman,Discussed the Middle East peace process with King Hussein and Prime Minister Rifai.,"November 6–7, 1974",1974,1975
Syria,Damascus,Discussed the Middle East peace process with President Assad.,"November 7, 1974",1974,1975
Israel,Jerusalem,Discussed the Middle East peace process with Prime Minister Rabin and Foreign Minister Allon.,"November 7–8, 1974",1974,1975
Tunisia,Tunis,Discussed the Middle East peace process with President Bourguiba and Foreign Minister Chatti.,"November 8–9, 1974",1974,1975
Japan,Tokyo,Accompanied President Ford on a State visit.,"November 18–22, 1974",1974,1975
"Korea, Republic of",Seoul,Accompanied President Ford.,"November 22–23, 1974",1974,1975
U.S.S.R.,Vladivostok,Accompanied President Ford to a discussion on strategic arms limitations with General Secretary Brezhnev.,"November 23–24, 1974",1974,1975
Japan,Tokyo,Met with Foreign Minister Kimura.,"November 25, 1974",1974,1975
China,"Peking, Soochow",Met with Foreign Minister Chiao.,"November 25–29, 1974",1974,1975
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 12–13, 1974",1974,1975
France,Martinique,Joined President Ford for a meeting with French President Giscard d'Estaing.,"December 14–16, 1974",1974,1975
Israel,Jerusalem,Official visit. Discussed prospects for a second Egyptian-Israeli disengagement agreement.,"February 10–12, 1975",1975,1975
Egypt,Cairo,Discussed prospects for a second Egyptian-Israeli disengagement agreement.,"February 12–13, 1975",1975,1975
Syria,Damascus,Briefed President Assad on the Middle East peace process.,"February 13, 1975",1975,1975
Israel,"Tel Aviv, Jerusalem",Discussed prospects for a second Egyptian-Israeli disengagement agreement.,"February 13–14, 1975",1975,1975
Jordan,Aqaba,Briefed King Hussein and Prime Minister Rifai on the Middle East peace process.,"February 14, 1975",1975,1975
Saudi Arabia,Riyadh,Briefed King Faisal on the Middle East peace process.,"February 15, 1975",1975,1975
"Germany, Federal Republic of",Bonn,Met with Foreign Minister Genscher.,"February 15–16, 1975",1975,1975
Switzerland,Geneva,Met with Soviet Foreign Minister Gromyko.,"February 16–17, 1975",1975,1975
United Kingdom,London,Met with Foreign Secretary Callaghan.,"February 18, 1975",1975,1975
Switzerland,Zurich,Met with Shah Mohammed Reza Pahlavi of Iran.,"February 18, 1975",1975,1975
France,Paris,Met with Foreign Minister Sauvagnargues.,"February 18–19, 1975",1975,1975
United Kingdom,Cardiff,Attended a banquet in honor of Foreign Secretary Callaghan.,"March 6, 1975",1975,1975
Belgium,Brussels,Discussed the Cyprus question with Greek Foreign Minister Bitsios.,"March 7, 1975",1975,1975
Egypt,Aswan,"Discussed a further Egyptian-Israeli disengagement. Discussions continued in Aswan March 9, 12-14, and 17-18.","March 8–18, 1975",1975,1975
Syria,Damascus,Reviewed Middle East peace process with President Assad.,"March 9, 1975",1975,1975
Israel,"Tel Aviv, Jerusalem","Egyptian-Israeli disengagement. Discussions continued in Jerusalem March 9-10, 12, 14, 16-17, 18, and 20-23.","March 9–23, 1975",1975,1975
Turkey,Ankara,Met with Prime Minister Ecevit and senior Turkish officials.,"March 10–11, 1975",1975,1975
Syria,Damascus,Briefed President Assad on the Egyptian-Israeli peace process.,"March 15, 1975",1975,1975
Jordan,Amman,Briefed King Hussein on the Middle East peace process.,"March 15–16, 1975",1975,1975
Saudi Arabia,Riyadh,Met with King Faisal to review the Middle East peace process and bilateral relations.,"March 19, 1975",1975,1975
Austria,Vienna,Met with Soviet Foreign Minister Gromyko regarding the Middle East.,"May 18–20, 1975",1975,1975
"Germany, Federal Republic of",Bonn,Met with Chancellor Schmidt and Foreign Minister Genscher.,"May 20–21, 1975",1975,1975
Germany,West Berlin,Met with City officials. Addressed the Berlin House of Representatives.,"May 21, 1975",1975,1975
Turkey,Ankara,Attended CENTO Ministerial Meeting.,"May 21–23, 1975",1975,1975
France,Paris,Attended the IEA and OECD Ministerial Meetings.,"May 26–28, 1975",1975,1975
Belgium,Brussels,Accompanied President Ford to NATO Summit Meeting.,"May 28–31, 1975",1975,1975
Spain,Madrid,Accompanied President Ford.,"May 31–June 1, 1975",1975,1975
Austria,Salzburg,Accompanied President Ford and met with Egyptian President Sadat.,"June 1–3, 1975",1975,1975
Italy,Rome,Accompanied President Ford.,"June 3, 1975",1975,1975
Vatican City,,Accompanied President Ford.,"June 3, 1975",1975,1975
France,Paris,Met with President Giscard d'Estaing and Foreign Minister Sauvagnargues.,"July 9–10, 1975",1975,1975
Switzerland,Geneva,Met with Soviet Foreign Minister Gromyko.,"July 10–11, 1975",1975,1975
"Germany, Federal Republic of",Bonn,Met with West German officials and with Israeli Prime Minister Rabin.,"July 11–12, 1975",1975,1975
United Kingdom,London,Met with Foreign Secretary Callaghan.,"July 12, 1975",1975,1975
"Germany, Federal Republic of",Bonn,Accompanied President Ford.,"July 26–28, 1975",1975,1975
Poland,Warsaw,Accompanied President Ford on an official visit.,"July 28–29, 1975",1975,1975
Finland,Helsinki,Accompanied President Ford to the signing ceremony for the Final Act of the Conference on Security and Cooperation in Europe.,"July 30–August 1, 1975",1975,1975
Romania,"Bucharest, Sinaia",Accompanied President Ford on an official visit.,"August 2–3, 1975",1975,1975
Yugoslavia,Belgrade,Accompanied President Ford on an official visit.,"August 3–4, 1975",1975,1975
Canada,Montreal,Addressed American Bar Association on international law.,"August 11, 1975",1975,1975
Israel,Jerusalem,Negotiated a second Egyptian-Israeli disengagement agreement.,"August 21–31, 1975",1975,1975
Egypt,Alexandria,"Negotiated a second Egyptian-Israeli disengagement agreement. Negotiations continued in Alexandria August 23, 25, 28, and 31.","August 22–31, 1975",1975,1975
Syria,Damascus,Briefed President Assad on the Middle East peace process.,"August 23, 1975",1975,1975
Israel,Jerusalem,Attended the signing of a second Egyptian-Israeli disengagement agreement.,"September 1, 1975",1975,1975
Saudi Arabia,Taif,Briefed King Khalid on the Middle East peace process.,"September 2, 1975",1975,1975
Jordan,Amman,Briefed King Hussein and Prime Minister Rifai on the Middle East peace process.,"September 2, 1975",1975,1975
Syria,Damascus,Briefed President Assad on the Middle East peace process.,"September 3, 1975",1975,1975
Canada,Ottawa,Met with Secretary for External Affairs MacEachen.,"October 14–15, 1975",1975,1975
Japan,Tokyo,Stopped en route to China.,"October 18–19, 1975",1975,1975
China,Peking,Met with Chairman Mao and Foreign Minister Chiao.,"October 19–23, 1975",1975,1975
Japan,Tokyo,Met with Prime Minister Miki and Foreign Minister Miyazawa.,"October 23, 1975",1975,1975
France,Rambouillet,"Accompanied President Ford to the first Economic Summit Meeting of the Heads of State and Government of France, West Germany, the United Kingdom, Italy, and Japan.","November 15–17, 1975",1975,1975
China,Peking,Accompanied President Ford on an official visit.,"December 1–5, 1975",1975,1975
Indonesia,Djakarta,Accompanied President Ford on an official visit.,"December 5–6, 1975",1975,1975
Philippines,Manila,Accompanied President Ford on an official visit.,"December 6–7, 1975",1975,1975
Japan,Tokyo,Met with Prime Minister Miki and Foreign Minister Miyazawa.,"December 8, 1975",1975,1975
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 11–12, 1975",1975,1975
"Germany, Federal Republic of",Fuerth,Received the city's Gold Medal for Distinguished Native Citizens.,"December 13–15, 1975",1975,1975
France,Paris,Attended the Conference on International Economic Cooperation.,"December 15–17, 1975",1975,1975
Denmark,Copenhagen,Met with Prime Minister Jorgensen.,"January 19–20, 1976",1976,1980
U.S.S.R.,Moscow,Discussed further limitations on strategic arms with General Secretary Brezhnev and Foreign Minister Gromyko.,"January 21–23, 1976",1976,1980
Belgium,Brussels,Briefed NATO officials on U.S.-Soviet arms talks.,"January 23, 1976",1976,1980
Spain,Madrid,Signed Treaty of Friendship and Cooperation.,"January 24, 1976",1976,1980
Venezuela,Caracas,Met with President Perez and Foreign Minister Escovar Salom.,"February 16–18, 1976",1976,1980
Peru,Lima,Met with President Morales Bermudez and Foreign Minister de la Flor.,"February 18–19, 1976",1976,1980
Brazil,Brasilia,Met with Foreign Minister Silveira. Signed a Memorandum of Understanding.,"February 19–21, 1976",1976,1980
Colombia,Bogota,Met with President Lopez Michelson and Foreign Minister Lievano Aguirre.,"February 22–23, 1976",1976,1980
Costa Rica,San Jose,"Met with President Oduber, Foreign Minister Facio, and with Central American Foreign Ministers.","February 23–24, 1976",1976,1980
Guatemala,Guatemala City,Discussed disaster relief assistance with President Laugerud Garcia and senior Guatemalan officials.,"February 24, 1976",1976,1980
United Kingdom,Waddington,Met with Foreign Secretary Crosland.,"April 23, 1976",1976,1980
Kenya,Nairobi,Met with President Kenyatta and Foreign Affairs Minister Waiyaki.,"April 24–25, 1976",1976,1980
Tanzania,Dar es Salaam,Met with President Nyerere and Foreign Minister Kaduma.,"April 25–26, 1976",1976,1980
Zambia,Lusaka,Met with President Kaunda and Foreign Minister Banda.,"April 26, 1976",1976,1980
Democratic Republic of the Congo (Zaire),Kinshasa,Met with President Mobutu and Commissioner Nguza.,"April 27–29, 1976",1976,1980
Liberia,Monrovia,Met with President Tolbert.,"April 30–May 1, 1976",1976,1980
Senegal,Dakar,Met with President Senghor and Foreign Affairs Minister Seck.,"May 2, 1976",1976,1980
Kenya,Nairobi,Attended an UNCTAD Conference.,"May 3–6, 1976",1976,1980
France,Paris,Met with President Giscard d'Estaing and with President Houphouet-Boigny of the Ivory Coast.,"May 7, 1976",1976,1980
Norway,Oslo,Attended NATO Ministerial Meeting.,"May 20–22, 1976",1976,1980
"Germany, Federal Republic of",Bonn,Met with Chancellor Schmidt and Foreign Minister Genscher.,"May 23, 1976",1976,1980
Sweden,Stockholm,Met with Prime Minister Palme and Foreign Minister Andersson.,"May 23–25, 1976",1976,1980
Luxembourg,Luxembourg,Met with Prime Minister Thorn.,"May 25, 1976",1976,1980
United Kingdom,London,Attended CENTO Council of Ministers meeting.,"May 25–27, 1976",1976,1980
Dominican Republic,Santo Domingo,Met with President Balaguer and senior Dominican officials.,"June 6, 1976",1976,1980
Bolivia,Santa Cruz,Met with President Banzer and Foreign Affairs Minister Adriazola.,"June 6–7, 1976",1976,1980
Chile,Santiago,Attended OAS General Assembly Meeting.,"June 7–9, 1976",1976,1980
Mexico,"Mexico, D.F.",Met with President Echeverria and senior Mexican officials.,"June 10–13, 1976",1976,1980
France,Paris,Attended an OECD Meeting.,"June 20–22, 1976",1976,1980
"Germany, Federal Republic of","Bodenmais, Grafenau",Met with Foreign Minister Genscher and South African Prime Minister Vorster.,"June 23–24, 1976",1976,1980
United Kingdom,London,Met with Prime Minister Callaghan and Foreign Secretary Crosland.,"June 24–25, 1976",1976,1980
United Kingdom,London,Met with Prime Minister Callaghan and Foreign Secretary Crosland.,"August 4, 1976",1976,1980
Iran,Tehran,Attended a meeting of the U.S.-Iran Joint Commission.,"August 6–7, 1976",1976,1980
Afghanistan,Kabul,Official visit. Met with Prime Minister Daoud and senior Afghan officials.,"August 8, 1976",1976,1980
Pakistan,Lahore,Met with Prime Minister Bhutto.,"August 8–9, 1976",1976,1980
France,Deauville,Vacation.,"August 9–11, 1976",1976,1980
Netherlands,The Hague,Met with Foreign Minister van der Stoel.,"August 11, 1976",1976,1980
United Kingdom,London,Discussed Rhodesia and Namibia with Foreign Secretary Crosland.,"September 3–4, 1976",1976,1980
Switzerland,Zurich,Met with South African Prime Minister Vorster.,"September 4–7, 1976",1976,1980
France,Paris,Discussed southern African issues with President Giscard d'Estaing and senior French officials.,"September 7, 1976",1976,1980
"Germany, Federal Republic of",Hamburg,Met with Chancellor Schmidt and Foreign Minister Genscher.,"September 7, 1976",1976,1980
Tanzania,Dar es Salaam,Discussed Rhodesia and Namibia with President Nyerere.,"September 14–15, 1976",1976,1980
Zambia,Lusaka,Discussed Rhodesia and Namibia with President Kaunda.,"September 15–17, 1976",1976,1980
South Africa,Pretoria,Discussed Rhodesia and Namibia with Prime Minister Vorster. Met with a Rhodesian delegation.,"September 17–20, 1976",1976,1980
Tanzania,Dar es Salaam,Briefed President Nyerere on meetings with Rhodesian leaders.,"September 21, 1976",1976,1980
Democratic Republic of the Congo (Zaire),Kinshasa,Discussed regional and bilateral issues with President Mobutu.,"September 21–22, 1976",1976,1980
Kenya,Nairobi,Discussed Rhodesia and Namibia with President Kenyatta and Acting Foreign Minister Osogo.,"September 22–23, 1976",1976,1980
United Kingdom,London,Discussed Rhodesia and Namibia with Foreign Secretary Crosland.,"September 23–24, 1976",1976,1980
Mexico,"Mexico, D.F.",Attended the inauguration of President Lopez Portillo.,"November 29–December 2, 1976",1976,1980
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 7–10, 1976",1976,1980
Israel,Jerusalem,Met with Prime Minister Rabin and Foreign Minister Allon; reviewed the Middle East peace process.,"February 15–17, 1977",1977,1980
Egypt,Cairo,Met with President Sadat and Foreign Minister Fahmy; reviewed the Middle East peace process.,"February 17–18, 1977",1977,1980
Lebanon,Beirut,Met with President Sarkis and senior Lebanese officials.,"February 18, 1977",1977,1980
Jordan,Amman,Met with King Hussein; reviewed the Middle East peace process.,"February 18–19, 1977",1977,1980
Saudi Arabia,Riyadh,Met with Crown Prince Fahd and Foreign Minister Prince Saud; reviewed the Middle East peace process.,"February 19–20, 1977",1977,1980
Syria,Damascus,Met with President Assad; reviewed the Middle East peace process.,"February 20–21, 1977",1977,1980
Belgium,Brussels,Attended a special session of the North Atlantic Council.,"March 26, 1977",1977,1980
U.S.S.R.,Moscow,Presented arms reduction proposal to General Secretary Brezhnev and Foreign Minister Gromyko.,"March 27–30, 1977",1977,1980
"Germany, Federal Republic of",Bonn,Briefed Chancellor Schmidt and Foreign Minister Genscher on meetings with Soviet leaders.,"March 31, 1977",1977,1980
United Kingdom,London,Briefed Prime Minister Callaghan on meetings with Soviet leaders.,"April 1, 1977",1977,1980
France,Paris,Briefed President Giscard d'Estaing and senior French officials on meetings with Soviet leaders.,"April 1, 1977",1977,1980
United Kingdom,London,Accompanied President Carter to Economic Summit Meeting. Attended NATO Ministerial Meeting (May 10-11). Met May 11 with Israeli Foreign Minister Allon.,"May 5–11, 1977",1977,1980
Switzerland,Geneva,Accompanied President Carter to a meeting with Syrian President Assad.,"May 9, 1977",1977,1980
Spain,Madrid,Attended the first regular session of the U.S.-Spanish Council.,"May 11–12, 1977",1977,1980
Iran,Tehran,Attended CENTO Ministerial Meeting.,"May 12–15, 1977",1977,1980
Switzerland,Geneva,Met with Soviet Foreign Minister Gromyko. Signed Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques.,"May 18–21, 1977",1977,1980
France,Paris,Attended the Conference on International Economic Development.,"May 28–June 2, 1977",1977,1980
Grenada,St. George's,Attended OAS General Assembly Meeting.,"June 14–16, 1977",1977,1980
Trinidad and Tobago,Port-of-Spain,Met with President Clarke and Prime Minister Williams.,"June 16–17, 1977",1977,1980
France,Paris,Attended OECD Ministerial Meeting.,"June 22–24, 1977",1977,1980
Egypt,Alexandria,Met with President Sadat; discussed the Middle East peace process. Revisited.,"August 1–3, 1977",1977,1980
Lebanon,Beirut,Met with President Sarkis and senior Lebanese officials; reviewed the Middle East peace process.,"August 3, 1977",1977,1980
Syria,Damascus,Reviewed the Middle East peace process with President Assad. Revisited Syria August 11.,"August 3–5, 1977",1977,1980
Jordan,Amman,Reviewed the Middle East peace process with King Hussein. Revisited Jordan August 11.,"August 5–7, 1977",1977,1980
Saudi Arabia,Taif,Reviewed the Middle East peace process with King Khalid and senior Saudi officials.,"August 7–9, 1977",1977,1980
Israel,Jerusalem,Reviewed the Middle East peace process with Prime Minister Begin and Foreign Minister Dayan.,"August 9–11, 1977",1977,1980
United Kingdom,London,Discussed Rhodesia with Foreign Secretary Owen.,"August 11–13, 1977",1977,1980
China,Peking,"Met with Chairman Hua, Foreign Minister Huang, and senior Chinese officials.","August 20–26, 1977",1977,1980
Japan,Tokyo,Met with Prime Minister Fukuda and Foreign Minister Hatoyama.,"August 26–27, 1977",1977,1980
Argentina,Buenos Aires,Met with President Videla and senior Argentinian officials.,"November 20–22, 1977",1977,1980
Brazil,Brasilia,Met with President Geisel and senior Brazilian officials.,"November 22–23, 1977",1977,1980
Venezuela,Caracas,Met with President Perez and senior Venezuelan officials.,"November 23, 1977",1977,1980
Belgium,Brussels,Attended NATO Ministerial Meeting.,"December 8–9, 1977",1977,1980
Egypt,Cairo,Reviewed the Middle East peace process.,"December 9–10, 1977",1977,1980
Israel,Jerusalem,Reviewed the Middle East peace process.,"December 10–12, 1977",1977,1980
Jordan,Amman,Reviewed the Middle East peace process.,"December 12–13, 1977",1977,1980
Lebanon,Beirut,Reviewed the Middle East peace process.,"December 13, 1977",1977,1980
Syria,Damascus,Reviewed the Middle Eastpeace process.,"December 13–14, 1977",1977,1980
Saudi Arabia,Riyadh,Reviewed the Middle East peace process.,"December 14–15, 1977",1977,1980
Poland,Warsaw,Accompanied President Carter on an official visit.,"December 29–31, 1977",1977,1980
Iran,Tehran,Accompanied President Carter on an official visit.,"December 31, 1977–January 1, 1978",1977,1980
India,New Delhi,Accompanied President Carter.,"January 1–3, 1978",1978,1980
Saudi Arabia,Riyadh,Accompanied President Carter.,"January 3–4, 1978",1978,1980
Egypt,Aswan,Accompanied President Carter.,"January 4, 1978",1978,1980
France,Paris,Accompanied President Carter.,"January 4–6, 1978",1978,1980
Hungary,Budapest,Returned the Crown of St. Stephen to Hungary.,"January 5–7, 1978",1978,1980
Ireland,Shannon,Met with Foreign Minister O'Kennedy while returning to U.S.,"January 7, 1978",1978,1980
Israel,Jerusalem,Attended the opening session of the Egyptian- Israeli Political Committee.,"January 16–20, 1978",1978,1980
Egypt,Cairo,Met with President Sadat regarding the peace process.,"January 20, 1978",1978,1980
Turkey,Ankara,Met with Prime Minister Ecevit and senior Turkish officials.,"January 20–21, 1978",1978,1980
Greece,Athens,Met with Prime Minister Karamanlis and senior Greek officials.,"January 21–22, 1978",1978,1980
Venezuela,Caracas,Accompanied President Carter.,"March 28–29, 1978",1978,1980
Brazil,"Brasilia, Rio de Janeiro",Accompanied President Carter on an official visit.,"March 29–31, 1978",1978,1980
Nigeria,Lagos,Accompanied President Carter on a State visit.,"March 31–April 3, 1978",1978,1980
Liberia,Monrovia,Accompanied President Carter.,"April 3, 1978",1978,1980
Sudan,Khartoum,Met with Foreign Minister al-Tahir.,"April 13, 1978",1978,1980
Tanzania,Dar es Salaam,Discussed the Rhodesian question with British Foreign Secretary Owen and leaders of Zimbabwe's Patriotic Front.,"April 13–16, 1978",1978,1980
South Africa,Pretoria,Discussed Rhodesia and Namibia with Foreign Minister Botha and British Foreign Secretary Owen.,"April 16–17, 1978",1978,1980
Southern Rhodesia (Zimbabwe),Salisbury,Discussed the Rhodesian question with members of the Transitional Government and British Foreign Secretary Owen.,"April 17, 1978",1978,1980
United Kingdom,London,Attended CENTO Ministerial Meeting.,"April 18–19, 1978",1978,1980
U.S.S.R.,Moscow,Met with General Secretary Brezhnev and Foreign Minister Gromyko.,"April 19–23, 1978",1978,1980
Mexico,"Mexico, D.F., Puerto Vallarta",Official visit. Met with President Lopez Portillo and Foreign Relations Secretary Roel.,"May 3–5, 1978",1978,1980
France,Paris,Attended OECD Ministerial Meeting.,"June 13–15, 1978",1978,1980
United Kingdom,London,Attended a meeting of U.S. Chiefs of Mission.,"June 16–17, 1978",1978,1980
Switzerland,Geneva,Met with Soviet Foreign Minister Gromyko.,"July 11–13, 1978",1978,1980
"Germany, Federal Republic of","Frankfurt, Bonn",Accompanied President Carter on a State visit and to the Economic Summit Meeting.,"July 14–17, 1978",1978,1980
Germany,West Berlin,Accompanied President Carter.,"July 15, 1978",1978,1980
United Kingdom,"London, Hollingbourne","Discussed the Rhodesia question with Foreign Secretary Owen. Also met with the Egyptian and Israeli Foreign Ministers at Leeds Castle, July 18.","July 17–20, 1978",1978,1980
Israel,Jerusalem,Met with Prime Minister Begin and delivered an invitation to meet with Presidents Carter and Sadat at Camp David.,"August 5–7, 1978",1978,1980
Egypt,Alexandria,Met with President Sadat and delivered an invitation to meet with President Carter and Prime Minister Begin at Camp David.,"August 7–9, 1978",1978,1980
Dominican Republic,Santo Domingo,Attended the inauguration of President Guzman.,"August 16, 1978",1978,1980
Jordan,Amman,Reviewed the Camp David Accords with King Hussein.,"September 20–21, 1978",1978,1980
Saudi Arabia,Riyadh,Reviewed the Camp David Accords with King Khalid and Crown Prince Fahd.,"September 21–24, 1978",1978,1980
Syria,Damascus,Reviewed the Camp David Accords with President Assad.,"September 24, 1978",1978,1980
South Africa,Pretoria,Discussed the Namibian question with South African officials.,"October 14–18, 1978",1978,1980
Switzerland,Geneva,Met with the U.S. delegation prior to SALT negotiations in Moscow.,"October 19–21, 1978",1978,1980
U.S.S.R.,Moscow,Discussed SALT negotiations with President Brezhnev and Foreign Minister Gromyko.,"October 21–24, 1978",1978,1980
Canada,Ottawa,Signed the Great Lakes Water Quality Agreement.,"November 21–22, 1978",1978,1980
United Kingdom,London,Addressed the Royal Institute for International Affairs.,"December 9–10, 1978",1978,1980
Egypt,Cairo,"Discussed the Egyptian- Israeli peace process. Visited Cairo December 10-11, 12-13, and 14-15.","December 10–15, 1978",1978,1980
Israel,"Tel Aviv, Jerusalem",Discussed the Egyptian-Israeli peace process and attended the funeral of former Prime Minister Meir.,"December 11–12, 1978",1978,1980
Israel,Tel Aviv,Discussed the Egyptian-Israeli peace process.,"December 13–14, 1978",1978,1980
Switzerland,Geneva,Held SALT negotiations with Soviet Foreign Minister Gromyko.,"December 21–23, 1978",1978,1980
Belgium,Brussels,Met with the Egyptian and Israeli Foreign Ministers.,"December 23–24, 1978",1978,1980
Mexico,"Mexico, D.F.",Accompanied President Carter on a State visit.,"February 14–16, 1979",1979,1980
Egypt,"Cairo, Alexandria",Accompanied President Carter on a State visit.,"March 7–10, 1979",1979,1980
Israel,Jerusalem,Accompanied President Carter on a State visit.,"March 10–13, 1979",1979,1980
Egypt,Cairo,Accompanied President Carter during final Egyptian-Israeli peace negotiations.,"March 13, 1979",1979,1980
United Kingdom,London,Met with Prime Minister Thatcher and Foreign Secretary Lord Carrington. Also met with Israeli Prime Minister Begin May 24.,"May 20–24, 1979",1979,1980
Egypt,Cairo,Met with President Sadat.,"May 24, 1979",1979,1980
Israel,"Tel Aviv, Beersheva, El Arish","Attended opening session of Egyptian-Israeli autonomy talks on the West Bank and Gaza at Beersheva, and the exchange of ratifications of the Egyptian-Israeli Peace Treaty.","May 25–27, 1979",1979,1980
Italy,Rome,Met with President Pertini and Prime Minister Andreotti.,"May 27–29, 1979",1979,1980
Vatican City,,Audience with Pope John Paul II.,"May 29, 1979",1979,1980
Netherlands,The Hague,Attended NATO Ministerial Meeting.,"May 29–31, 1979",1979,1980
Spain,Madrid,Attended a meeting of the U.S.-Spanish Council.,"June 1–2, 1979",1979,1980
Austria,Vienna,Accompanied President Carter to U.S.-Soviet Summit and the signing of the SALT II Treaty.,"June 14–18, 1979",1979,1980
Portugal,Lisbon,Signed Lajes Base Agreement.,"June 19, 1979",1979,1980
Japan,Tokyo,Accompanied President Carter on a State visit and to the Economic Summit Meeting.,"June 25–29, 1979",1979,1980
"Korea, Republic of",Seoul,Accompanied President Carter on a State visit.,"June 30–July 1, 1979",1979,1980
Indonesia,Bali,Attended meeting of ASEAN Foreign Ministers.,"July 1–3, 1979",1979,1980
Australia,Canberra,Attended ANZUS Council Meeting.,"July 3–5, 1979",1979,1980
Ecuador,Quito,Attended the inauguration of President Roldos.,"August 9–12, 1979",1979,1980
Bolivia,La Paz,Attended OAS General Assembly Meeting.,"October 20–23, 1979",1979,1980
"Korea, Republic of",Seoul,Attended the funeral of President Park.,"November 1–4, 1979",1979,1980
United Kingdom,London,Discussed international responses to the Iranian hostage crisis with Prime Minister Thatcher and Foreign Secretary Lord Carrington.,"December 10, 1979",1979,1980
France,Paris,Discussed international responses to the Iranian hostage crisis with President Giscard d'Estaing and Foreign Minister Francois-Poncet. Also met with Japanese Foreign Minister Okita.,"December 10–11, 1979",1979,1980
Italy,Rome,Discussed international responses to the Iranian hostage crisis with President Pertini and Prime Minister Cossiga.,"December 11, 1979",1979,1980
"Germany, Federal Republic of",Bonn,Discussed international responses to the Iranian hostage crisis with Chancellor Schmidt and Foreign Minister Genscher.,"December 11–12, 1979",1979,1980
Belgium,Brussels,Attended NATO Ministerial Meeting and a special meeting of NATO Foreign and Defense Ministers.,"December 12–14, 1979",1979,1980
"Germany, Federal Republic of",Bonn,Discussed responses to Soviet invasion of Afghanistan with Chancellor Schmidt and Foreign Minister Genscher.,"February 19–20, 1980",1980,1980
Italy,Rome,Discussed responses to Soviet invasion of Afghanistan with President Pertini and Foreign Minister Ruffini.,"February 20–21, 1980",1980,1980
France,Paris,Discussed responses to Soviet invasion of Afghanistan with Foreign Minister Francois-Poncet.,"February 21, 1980",1980,1980
United Kingdom,London,Discussed responses to Soviet invasion of Afghanistan with Foreign Secretary Lord Carrington.,"February 21–22, 1980",1980,1980
Belgium,Brussels,Attended NATO Defense Planning Committee meeting.,"May 13–15, 1980",1980,1980
Austria,Vienna,Attended ceremonies for the 25th anniversary of the Austrian State Treaty and met with Soviet Foreign Minister Gromyko.,"May 15–16, 1980",1980,1980
Italy,"Rome, Venice",Accompanied President Carter on a State visit and to Economic Summit Meeting.,"June 19–24, 1980",1980,1980
Vatican City,,Accompanied President Carter.,"June 21, 1980",1980,1980
