destination country,destination city,description,time,year,year_aggregate
United Kingdom,London,Met with Palestinian Authority President Mahmoud Abbas and with Foreign Secretary William Hague.,"September 8–9, 2013",2013,2015
Switzerland,Geneva,Discussed the Syrian crisis with Russian Foreign Minister Sergey Lavrov. Announced Framework for the Elimination of Syrian Chemical Weapons.,"September 12–15, 2013",2013,2015
Israel,Jerusalem,Met with Prime Minister Benjamin Netanyahu.,"September 15–16, 2013",2013,2015
France,Paris,"Met with President Francois Hollande, Foreign Minister Laurent Fabius, British Foreign Secretary William Hague, Turkish Foreign Minister Ahmet Davutoglu, and Saudi Foreign Minister Saud al-Faisal.","September 16, 2013",2013,2015
Japan,Tokyo,Attended the U.S.-Japan Security Consultative Committee meeting. Signed Protocol to amend the Guam International Agreement concerning redeployment of U.S. forces from Okinawa to Guam.,"October 2–4, 2013",2013,2015
Indonesia,Bali,Attended the APEC Ministerial Meeting and the APEC CEO Summit Meeting. Signed Nuclear Risk Reduction Agreement with Russian Foreign Minister Sergey Lavrov.,"October 4–9, 2013",2013,2015
Brunei,Bandar Seri Begawan,Attended the U.S.-ASEAN Summit Meeting.,"October 9–10, 2013",2013,2015
Malaysia,Kuala Lumpur,Attended the Fourth Global Entrepreneurship Summit.,"October 10–11, 2013",2013,2015
Afghanistan,Kabul,Met with President Hamid Karzai. Signed Bilateral Security Agreement.,"October 11–12, 2013",2013,2015
United Kingdom,London,Met with EU High Representative Catherine Ashton. Addressed the AIPAC National Summit by satellite. Also met with UN Special Representative for Syria Lakhdar Brahimi.,"October 12–14, 2013",2013,2015
France,Paris,"Met with members of the Arab Peace Initiative Follow-up Committee, Saudi Foreign Minister Saud al-Faisal, Foreign Minister Laurent Fabius, and members of the Syrian Opposition Coalition.","October 21–22, 2013",2013,2015
United Kingdom,London,Attended the London Eleven Ministerial Meeting.,"October 22, 2013",2013,2015
Italy,Rome,Met with Prime Minister Enrico Letta and Israeli Prime Minister Benjamin Netanyahu.,"October 22–24, 2013",2013,2015
Egypt,Cairo,"Met with Interim President Adly Mansour, Foreign Minister Nabil Fahmy, and Defense Minister Abdul Fatah al-Sisi.","November 3, 2013",2013,2015
Saudi Arabia,Riyadh,Met with Foreign Minister Saud al-Faisal and King Abdullah bin Abdulaziz al-Saud.,"November 3–4, 2013",2013,2015
Poland,"Warsaw, Lask",Wreath-laying at the grave of former Prime Minister Tadeusz Mazowiecki. Met with Prime Minister Donald Tusk and Foreign Minister Radoslaw Sikorski. Medal award ceremony at Lask air base.,"November 4–5, 2013",2013,2015
Israel,"Tel Aviv, Jerusalem",Wreath-laying ceremony at the Yitzhak Rabin Memorial. Met with President Shimon Peres and Prime Minister Benjamin Netanyahu.,"November 5–7, 2013",2013,2015
Palestinian Authority,Bethlehem,Met with President Mahmoud Abbas and attended a High Impact Microfinance Infrastructure Initiative Event.,"November 6, 2013",2013,2015
Jordan,Amman,"Met with King Abdullah II, Foreign Minister Nasser Judeh, and Palestinian Authority President Mahmoud Abbas.","November 6, 2013",2013,2015
Israel,Jerusalem,Met with Prime Minister Benjamin Netanyahu.,"November 8, 2013",2013,2015
Switzerland,Geneva,"Met with EU High Representative Catherine Ashton, French Foreign Minister Laurent Fabius, and Iranian Foreign Minister Mohammed Zarif.","November 8–10, 2013",2013,2015
United Arab Emirates,Abu Dhabi,Met with Crown Prince Mohammed bin Zayed al-Nahyan and Foreign Minister Abdullah bin Zayed al-Nahyan.,"November 10–11, 2013",2013,2015
Switzerland,Geneva,Met with the P5+1 representatives and Iranian Foreign Minister Mohammed Zarif. Announced a First Step Agreement on Iran’s Nuclear Program.,"November 22–24, 2013",2013,2015
United Kingdom,London,Met with Foreign Secretary William Hague and Libyan Prime Minister Ali Zeidan.,"November 24–25, 2013",2013,2015
Belgium,Brussels,Attended the NATO Foreign Ministers’ Meeting and a NATO-Russia Council Meeting. Signed Cyber Partnership Agreement with Estonia.,"December 3–4, 2013",2013,2015
Moldova,Chisinau,Met with President Nicolae Timofti and Prime Minister Iurie Leanca. Attended a Trade and Investment Showcast.,"December 4, 2013",2013,2015
Israel,Jerusalem,Met with Prime Minister Benjamin Netanyahu and Finance Minister Yair Lapid.,"December 5–6, 2013",2013,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"December 5, 2013",2013,2015
Israel,"Jerusalem, Tel Aviv",Met with Prime Minister Benjamin Netanyahu.,"December 12–13, 2013",2013,2015
Vietnam,"Ho Chi Minh City, Ca Mau, Hanoi","Met with American and Vietnamese business leaders, addressed the American Chamber of Commerce, delivered an address on climate change, and met with Foreign Minister Pham Binh Minh.","December 14–17, 2013",2013,2015
Philippines,"Manila, Tacloban",Met with President Benigno Aquino and Foreign Secretary Albert del Rosario. Visited a USAID Forward Operating Base.,"December 17–18, 2013",2013,2015
Israel,Jerusalem,Met with Prime Minister Benjamin Netanyahu and Foreign Minister Avigdor Lieberman.,"January 2–5, 2014",2014,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"January 3–4, 2014",2014,2015
Jordan,Amman,Met with King Abdullah II.,"January 5, 2014",2014,2015
Saudi Arabia,Riyadh,Met with King Abdullah bin Abdulaziz al-Said.,"January 5–6, 2014",2014,2015
France,Paris,Attended the London 11 Ministerial Meeting and the Arab Peace Initiative Follow-up Committee Meeting. Met with Russian Foreign Minister Sergei Lavrov.,"January 12–14, 2014",2014,2015
Vatican City,,Met with Secretary of State Pietro Parolin.,"January 14, 2014",2014,2015
Kuwait,Kuwait City,Attended the Syria Donors’ Conference.,"January 14–15, 2014",2014,2015
Switzerland,Davos,Attended the World Economic Forum.,"January 23–24, 2014",2014,2015
Germany,"Berlin, Munich",Met with Chancellor Angela Merkel and Foreign Minister Frank-Walter Steinmeier. Attended the 50th Munich Security Conference.,"January 31–February 2, 2014",2014,2015
"Korea, Republic of",Seoul,Met with President Park Geun-Hye and Foreign Minister Yun Byung-Se.,"February 13–14, 2014",2014,2015
"China, People’s Republic of",Beijing,"Met with President Xi Jinping, Foreign Minister Wang Yi, and Premier Li Keqiang. Visited a joint venture plant.","February 14–15, 2014",2014,2015
Indonesia,Jakarta,"Met with ASEAN Secretary-General Li Luong Minh, Foreign Minister Marty Natalegawa. Delivered an address on climate change. Attended a Joint Commission meeting. Signed Memoranda of Understanding on South-South Triangular Cooperation and Wildlife Trafficking.","February 16–17, 2014",2014,2015
United Arab Emirates,Abu Dhabi,Met with Crown Prince Mohammed bin Zayed al-Nahyan and Foreign Minister Abdullah bin Zayed al-Nahyan.,"February 17–18, 2014",2014,2015
Tunisia,Tunis,Met with President Moncef Marzouki and Prime Minister Medhi Jomaa.,"February 18–19, 2014",2014,2015
France,Paris,"Met with Foreign Minister Laurent Fabius, Palestinian Authority President Mahmoud Abbas, and Jordanian Foreign Minister Nasser Judeh.","February 19–20, 2014",2014,2015
Ukraine,Kyiv,"Met with Acting President Oleksandr Turchynov, Prime Minister Arseniy Yatsenyuk, and political and religious leaders.","March 4, 2014",2014,2015
France,Paris,Attended the Budapest Memorandum Ministerial Meeting and a meeting of the International Support Group for Lebanon.,"March 5, 2014",2014,2015
Italy,Rome,Met with Prime Minister Matteo Renzi and Foreign Minister Federica Mogherini. Attended a conference on International Support to Libya.,"March 5–6, 2014",2014,2015
Jordan,Aqaba,Met with King Abdullah II.,"March 7, 2014",2014,2015
United Kingdom,London,Discussed the Ukrainian crisis with Russian Foreign Minister Sergei Lavrov.,"March 14, 2014",2014,2015
Netherlands,The Hague,Accompanied President Obama to a G-7 Leaders’ Meeting on the Ukrainian crisis.,"March 24–25, 2014",2014,2015
Italy,Rome,Accompanied President Obama.,"March 25, 2014",2014,2015
Vatican City,,Accompanied President Obama.,"March 25, 2014",2014,2015
Jordan,Amman,Met with King Abdullah II and Palestinian Authority President Mahmoud Abbas.,"March 26, 2014",2014,2015
Italy,Rome,Accompanied President Obama.,"March 27–28, 2014",2014,2015
Saudi Arabia,Riyadh,Accompanied President Obama.,"March 28–29, 2014",2014,2015
France,Paris,Met with Foreign Minister Laurent Fabius and Russian Foreign Minister Sergei Lavrov.,"March 29–30, 2014",2014,2015
